epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.8287,1.38862,3.75498,1.5404,0.00335,1,0.00425,0.0015,1.6662,3.52261,1.63193,0,0,0
2,2.17431,1.77148,3.88652,1.74311,0.00334,1,0.00431,0.00188,1.34553,3.47751,1.51064,1.9802e-05,1.9802e-05,1.9802e-05
3,3.50904,1.44198,3.55189,1.43959,0.00333,1,0.02309,0.00979,1.06977,3.22642,1.16029,3.9208e-05,3.9208e-05,3.9208e-05
4,4.75687,1.17698,3.39327,1.18965,0.00333,1,0.03872,0.02164,0.6701,2.74162,0.80253,5.8218e-05,5.8218e-05,5.8218e-05
5,6.00585,1.01971,3.40717,1.1691,0.00333,1,0.07065,0.05015,0.48496,2.67515,0.717,7.6832e-05,7.6832e-05,7.6832e-05
6,7.24453,0.77647,3.29504,0.99516,0.00333,1,0.20022,0.08051,0.51476,2.67648,0.72529,9.505e-05,9.505e-05,9.505e-05
7,8.48381,0.84979,2.8711,1.00261,0.00333,1,0.3325,0.20522,0.60957,2.69156,0.72637,0.000112872,0.000112872,0.000112872
8,9.74582,0.65358,2.76551,0.80543,0.00333,1,0.45036,0.3453,0.61021,2.74348,0.73244,0.000130298,0.000130298,0.000130298
9,10.988,0.74716,2.72807,0.93697,0.00333,1,0.863,0.69757,0.67296,2.71144,0.74835,0.000147328,0.000147328,0.000147328
10,12.2252,0.86655,2.52422,0.94599,0.00333,1,0.995,0.88507,0.57089,2.66544,0.74906,0.000163962,0.000163962,0.000163962
11,13.478,0.80095,2.5843,0.86362,0.00333,1,0.995,0.88507,0.50543,2.65562,0.73579,0.0001802,0.0001802,0.0001802
12,14.7384,0.66925,2.32797,0.81762,0.00333,1,0.995,0.85154,0.58956,2.64596,0.7396,0.000196042,0.000196042,0.000196042
13,15.9904,0.73719,2.3586,0.88206,0.00333,1,0.995,0.86254,0.53939,2.58687,0.73869,0.000211488,0.000211488,0.000211488
14,17.2451,0.76268,2.18186,0.84923,0.00333,1,0.995,0.86254,0.54233,2.55101,0.7376,0.000226538,0.000226538,0.000226538
15,18.4878,0.61033,2.29556,0.81744,0.00333,1,0.995,0.8955,0.57755,2.50799,0.74288,0.000241192,0.000241192,0.000241192
16,19.7449,0.63643,1.9831,0.87092,0.00333,1,0.995,0.86274,0.59244,2.48998,0.74629,0.00025545,0.00025545,0.00025545
17,20.9856,0.63859,1.80301,0.8701,0.00333,1,0.995,0.82954,0.71616,2.44878,0.76762,0.000269312,0.000269312,0.000269312
18,22.1681,0.72758,1.73578,0.8769,0.00333,1,0.995,0.82954,0.71616,2.44878,0.76762,0.000282778,0.000282778,0.000282778
19,23.4064,0.85354,1.81961,0.92439,0.00333,1,0.995,0.85154,0.70249,2.41089,0.77169,0.000295848,0.000295848,0.000295848
20,24.7035,0.74201,1.75507,0.94557,0.00333,1,0.995,0.85154,0.70249,2.41089,0.77169,0.000308522,0.000308522,0.000308522
21,25.952,0.65308,1.54821,0.82011,0.00333,1,0.995,0.8955,0.65691,2.4473,0.7661,0.0003208,0.0003208,0.0003208
22,27.1652,0.60479,1.44954,0.87011,0.00333,1,0.995,0.8955,0.65691,2.4473,0.7661,0.000332682,0.000332682,0.000332682
23,28.4118,0.6086,1.5337,0.88641,0.00333,1,0.995,0.85154,0.68493,2.44581,0.77904,0.000344168,0.000344168,0.000344168
24,29.5873,0.59866,1.41818,0.89337,0.00333,1,0.995,0.85154,0.68493,2.44581,0.77904,0.000355258,0.000355258,0.000355258
25,30.8361,0.65266,1.47156,0.88057,0.00333,1,0.995,0.78524,0.72193,2.482,0.81361,0.000365952,0.000365952,0.000365952
